target,start,end,metricName,value
NS.BER.00.HHE:HHN.D,2020-01-27T05:00:00,2020-01-27T05:30:02,cross_talk,-0.0133846
NS.BER.00.HHE:HHZ.D,2020-01-27T05:00:00,2020-01-27T05:30:02,cross_talk,0.122606
NS.BER.00.HHN:HHZ.D,2020-01-27T05:00:00,2020-01-27T05:30:02,cross_talk,0.0208322
NS.BER.00.HHE:HHN.D,2020-01-28T15:36:33,2020-01-28T16:06:35,cross_talk,0.0430598
NS.BER.00.HHE:HHZ.D,2020-01-28T15:36:33,2020-01-28T16:06:35,cross_talk,0.0476942
NS.BER.00.HHN:HHZ.D,2020-01-28T15:36:33,2020-01-28T16:06:35,cross_talk,-0.0412801
NS.BER.00.HHE:HHN.D,2020-01-28T18:14:43,2020-01-28T18:44:45,cross_talk,-0.120611
NS.BER.00.HHE:HHZ.D,2020-01-28T18:14:43,2020-01-28T18:44:45,cross_talk,0.0649175
NS.BER.00.HHN:HHZ.D,2020-01-28T18:14:43,2020-01-28T18:44:45,cross_talk,-0.00778805
NS.BER.00.HHE:HHN.D,2020-01-28T19:08:23,2020-01-28T19:38:25,cross_talk,-0.363512
NS.BER.00.HHE:HHZ.D,2020-01-28T19:08:23,2020-01-28T19:38:25,cross_talk,0.036119
NS.BER.00.HHN:HHZ.D,2020-01-28T19:08:23,2020-01-28T19:38:25,cross_talk,-0.0964851
NS.BER.00.HHE:HHN.D,2020-01-28T21:53:15,2020-01-28T22:23:17,cross_talk,-0.207441
NS.BER.00.HHE:HHZ.D,2020-01-28T21:53:15,2020-01-28T22:23:17,cross_talk,-0.0248265
NS.BER.00.HHN:HHZ.D,2020-01-28T21:53:15,2020-01-28T22:23:17,cross_talk,0.0766116
NS.BER.00.HHE:HHN.D,2020-01-29T13:47:48,2020-01-29T14:17:50,cross_talk,0.00920745
NS.BER.00.HHE:HHZ.D,2020-01-29T13:47:48,2020-01-29T14:17:50,cross_talk,0.0640379
NS.BER.00.HHN:HHZ.D,2020-01-29T13:47:48,2020-01-29T14:17:50,cross_talk,-0.0465001
NS.BER.00.HHE:HHN.D,2020-01-30T01:26:04,2020-01-30T01:56:06,cross_talk,0.0947867
NS.BER.00.HHE:HHZ.D,2020-01-30T01:26:04,2020-01-30T01:56:06,cross_talk,0.0255115
NS.BER.00.HHN:HHZ.D,2020-01-30T01:26:04,2020-01-30T01:56:06,cross_talk,-0.0106347
NS.BER.00.HHE:HHN.D,2020-01-30T11:19:35,2020-01-30T11:49:37,cross_talk,0.286522
NS.BER.00.HHE:HHZ.D,2020-01-30T11:19:35,2020-01-30T11:49:37,cross_talk,0.0550769
NS.BER.00.HHN:HHZ.D,2020-01-30T11:19:35,2020-01-30T11:49:37,cross_talk,0.0881742
NS.BER.00.HHE:HHN.D,2020-01-30T22:36:54,2020-01-30T23:06:56,cross_talk,-0.0882341
NS.BER.00.HHE:HHZ.D,2020-01-30T22:36:54,2020-01-30T23:06:56,cross_talk,0.0915842
NS.BER.00.HHN:HHZ.D,2020-01-30T22:36:54,2020-01-30T23:06:56,cross_talk,-0.00984136
NS.BER.00.HHE:HHN.D,2020-01-31T13:51:30,2020-01-31T14:21:32,cross_talk,0.0364545
NS.BER.00.HHE:HHZ.D,2020-01-31T13:51:30,2020-01-31T14:21:32,cross_talk,0.0719586
NS.BER.00.HHN:HHZ.D,2020-01-31T13:51:30,2020-01-31T14:21:32,cross_talk,-0.0506358
NS.BER.00.HHE:HHN.D,2020-02-02T03:30:43,2020-02-02T04:00:45,cross_talk,-0.131801
NS.BER.00.HHE:HHZ.D,2020-02-02T03:30:43,2020-02-02T04:00:45,cross_talk,0.0802703
NS.BER.00.HHN:HHZ.D,2020-02-02T03:30:43,2020-02-02T04:00:45,cross_talk,0.127668
NS.BER.00.HHE:HHN.D,2020-02-05T12:15:04,2020-02-05T12:45:06,cross_talk,-0.0242105
NS.BER.00.HHE:HHZ.D,2020-02-05T12:15:04,2020-02-05T12:45:06,cross_talk,0.0423673
NS.BER.00.HHN:HHZ.D,2020-02-05T12:15:04,2020-02-05T12:45:06,cross_talk,0.112583
NS.BER.00.HHE:HHN.D,2020-02-05T18:10:36,2020-02-05T18:40:38,cross_talk,-0.142684
NS.BER.00.HHE:HHZ.D,2020-02-05T18:10:36,2020-02-05T18:40:38,cross_talk,0.0993614
NS.BER.00.HHN:HHZ.D,2020-02-05T18:10:36,2020-02-05T18:40:38,cross_talk,0.00282328
NS.BER.00.HHE:HHN.D,2020-02-06T13:38:04,2020-02-06T14:08:06,cross_talk,-0.00323551
NS.BER.00.HHE:HHZ.D,2020-02-06T13:38:04,2020-02-06T14:08:06,cross_talk,0.024501
NS.BER.00.HHN:HHZ.D,2020-02-06T13:38:04,2020-02-06T14:08:06,cross_talk,-0.00774999
NS.BER.00.HHE:HHN.D,2020-02-07T18:50:49,2020-02-07T19:20:51,cross_talk,-0.0900654
NS.BER.00.HHE:HHZ.D,2020-02-07T18:50:49,2020-02-07T19:20:51,cross_talk,0.109009
NS.BER.00.HHN:HHZ.D,2020-02-07T18:50:49,2020-02-07T19:20:51,cross_talk,0.0315088
NS.BER.00.HHE:HHN.D,2020-02-08T06:34:43,2020-02-08T07:04:45,cross_talk,-0.118957
NS.BER.00.HHE:HHZ.D,2020-02-08T06:34:43,2020-02-08T07:04:45,cross_talk,0.121751
NS.BER.00.HHN:HHZ.D,2020-02-08T06:34:43,2020-02-08T07:04:45,cross_talk,-0.0147378
NS.BER.00.HHE:HHN.D,2020-02-08T14:30:57,2020-02-08T15:00:59,cross_talk,-0.0869059
NS.BER.00.HHE:HHZ.D,2020-02-08T14:30:57,2020-02-08T15:00:59,cross_talk,0.0346229
NS.BER.00.HHN:HHZ.D,2020-02-08T14:30:57,2020-02-08T15:00:59,cross_talk,-0.00597048
NS.BER.00.HHE:HHN.D,2020-02-09T06:02:28,2020-02-09T06:32:30,cross_talk,-0.0355268
NS.BER.00.HHE:HHZ.D,2020-02-09T06:02:28,2020-02-09T06:32:30,cross_talk,0.0383078
NS.BER.00.HHN:HHZ.D,2020-02-09T06:02:28,2020-02-09T06:32:30,cross_talk,-0.14495
NS.BER.00.HHE:HHN.D,2020-02-09T09:40:23,2020-02-09T10:10:25,cross_talk,0.0146988
NS.BER.00.HHE:HHZ.D,2020-02-09T09:40:23,2020-02-09T10:10:25,cross_talk,0.0253023
NS.BER.00.HHN:HHZ.D,2020-02-09T09:40:23,2020-02-09T10:10:25,cross_talk,-0.0642777
NS.BER.00.HHE:HHN.D,2020-02-13T10:31:43,2020-02-13T11:01:45,cross_talk,0.37476
NS.BER.00.HHE:HHZ.D,2020-02-13T10:31:43,2020-02-13T11:01:45,cross_talk,0.00996495
NS.BER.00.HHN:HHZ.D,2020-02-13T10:31:43,2020-02-13T11:01:45,cross_talk,-0.0524367
NS.BER.00.HHE:HHN.D,2020-02-14T05:56:59,2020-02-14T06:27:01,cross_talk,0.00135105
NS.BER.00.HHE:HHZ.D,2020-02-14T05:56:59,2020-02-14T06:27:01,cross_talk,0.0521197
NS.BER.00.HHN:HHZ.D,2020-02-14T05:56:59,2020-02-14T06:27:01,cross_talk,0.0305411
NS.BER.00.HHE:HHN.D,2020-02-15T09:37:14,2020-02-15T10:07:16,cross_talk,0.00138464
NS.BER.00.HHE:HHZ.D,2020-02-15T09:37:14,2020-02-15T10:07:16,cross_talk,0.0739416
NS.BER.00.HHN:HHZ.D,2020-02-15T09:37:14,2020-02-15T10:07:16,cross_talk,-0.0139491
NS.BER.00.HHE:HHN.D,2020-02-15T22:58:26,2020-02-15T23:28:28,cross_talk,-0.0949296
NS.BER.00.HHE:HHZ.D,2020-02-15T22:58:26,2020-02-15T23:28:28,cross_talk,0.0528958
NS.BER.00.HHN:HHZ.D,2020-02-15T22:58:26,2020-02-15T23:28:28,cross_talk,0.0817485
NS.BER.00.HHE:HHN.D,2020-02-18T07:27:38,2020-02-18T07:57:40,cross_talk,-0.0110873
NS.BER.00.HHE:HHZ.D,2020-02-18T07:27:38,2020-02-18T07:57:40,cross_talk,0.0106959
NS.BER.00.HHN:HHZ.D,2020-02-18T07:27:38,2020-02-18T07:57:40,cross_talk,-0.0570647
NS.BER.00.HHE:HHN.D,2020-02-20T18:55:35,2020-02-20T19:25:37,cross_talk,-0.133163
NS.BER.00.HHE:HHZ.D,2020-02-20T18:55:35,2020-02-20T19:25:37,cross_talk,0.0368
NS.BER.00.HHN:HHZ.D,2020-02-20T18:55:35,2020-02-20T19:25:37,cross_talk,-0.0469281
NS.BER.00.HHE:HHN.D,2020-02-22T19:44:10,2020-02-22T20:14:12,cross_talk,0.0801946
NS.BER.00.HHE:HHZ.D,2020-02-22T19:44:10,2020-02-22T20:14:12,cross_talk,-0.0490142
NS.BER.00.HHN:HHZ.D,2020-02-22T19:44:10,2020-02-22T20:14:12,cross_talk,-0.0447017
NS.BER.00.HHE:HHN.D,2020-02-22T23:10:35,2020-02-22T23:40:37,cross_talk,0.0589585
NS.BER.00.HHE:HHZ.D,2020-02-22T23:10:35,2020-02-22T23:40:37,cross_talk,0.0433998
NS.BER.00.HHN:HHZ.D,2020-02-22T23:10:35,2020-02-22T23:40:37,cross_talk,-0.0854942
