target,start,end,metricName,time,value
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,digitizer_clipping,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,spikes,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,glitches,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,missing_padded_data,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,telemetry_sync_error,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,digital_filter_charging,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,suspect_time_tag,,0
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,timing_quality,,99.0215
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_min,,-18525
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_median,,-14232
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_mean,,-14233.1
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_max,,-9342
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_rms,,898.459
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_unique,,8050
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,max_stalta,2020-01-02T08:01:59,16.5848
NS.BER.00.HHN.D,2020-01-02T00:00:00,2020-01-02T23:59:59,num_spikes,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,num_gaps,,1
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,max_gap,,0.95
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,num_overlaps,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,max_overlap,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,percent_availability,,99.9989
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,calibration_signal,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,timing_correction,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,event_begin,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,event_end,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,event_in_progress,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,clock_locked,,20549
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,amplifier_saturation,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,digitizer_clipping,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,spikes,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,glitches,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,missing_padded_data,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,telemetry_sync_error,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,digital_filter_charging,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,suspect_time_tag,,0
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,timing_quality,,99.0255
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_min,,-22004
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_median,,-14134
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_mean,,-14134.9
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_max,,-7447
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_rms,,1434.86
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,sample_unique,,12172
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,max_stalta,2020-01-02T00:43:17,27.379
NS.BER.00.HHZ.D,2020-01-02T00:00:00,2020-01-02T23:59:59,num_spikes,,0
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,num_gaps,,1
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,max_gap,,2.48
NS.BER.00.HHE.D,2020-01-03T00:00:00,2020-01-03T23:59:59,num_overlaps,,0
